Record ID#,Spacecraft Name,Launch Code (Using Record ID)
527,Amazon Kuiper Systems - 2027 Ariane Launches,
528,Amazon Kuiper Systems - 2027 New Glenn Launches,
529,Amazon Kuiper Systems - 2027 Vulcan Launches,
530,Amazon Kuiper Systems Projection 2023,
531,Amazon Kuiper Systems Projection 2024,
532,Amazon Kuiper Systems Projection 2025,
533,Amazon Kuiper Systems Projection 2026,
534,Amazon Kuiper Systems Projection 2027,
535,Amazon Kuiper Systems Replanishment Projection 2029,
536,Amazon Kuiper Systems Replanishment Projection 2030,
537,Amazon Kuiper Systems Replanishment Projection 2031,
538,Amazon Kuiper Systems Replanishment Projection 2032,
539,Amazon Kuiper Systems Replenishment Projection 2028,
540,Amazonas 5 HR,
541,Amazonas replacement projection (1 for 2),
542,Amber IOD-3 (Amber - 1),
543,Amber IOD-4,
544,Amber IOD-5,
545,Amber IOD-6,
546,Amber IOD-7,
547,Amber IOD-8,
548,AMC 21 replacement projection,
549,AMC 9 replacement projection,
550,Amos 3 HR,
551,AMOS 8,
552,Andesat 1,
553,Andesat 2,
554,AngoSat 1 HR,
555,Anik F3 replacement projection,
556,Anik fleet replacement projection,
557,Anuvu by Astranis 1,
558,Anuvu by Astranis 2,
559,Anuvu by Astranis 3,
560,Anuvu by Astranis 4,
561,Anuvu by Astranis 5,
562,Anuvu by Astranis 6,
563,Anuvu by Astranis 7,
564,Anuvu by Astranis 8,
565,AOS I,
566,AOS P,
567,APStar 6E,
568,ARABSAT 6C,
569,ARABSAT 6D,
570,ARABSAT 6E,
571,ARABSAT 6K,
572,Arabsat 7A SD,
573,Arachne,
574,Arc,
575,Arctic Observing Mission 1 (AOM 1),
576,Arctic Observing Mission 2 (AOM 2),
577,ARIEL,
578,ArkEdge 1,
579,ArkEdge 2,
580,ArkEdge 3,
581,ArkEdge 4,
582,ArkEdge 5,
583,ArkEdge 6,
584,ArkEdge 7,
585,Arktika-M2,
586,Arktika-M3,
587,Arktika-M4,
588,Arktika-M5,
589,Arktika-MS1 1,
590,Arktika-MS1 2,
591,Arktika-MS1 3,
592,ARMADILLO 1,
593,ARMADILLO 2,
594,ARMADILLO 3,
595,ARMADILLO 4,
596,ARMADILLO 5,
597,ARMADILLO 6,
598,ARMADILLO 7,
599,ARMADILLO 8,
600,ARMADILLO 9,
601,Armysat 1 3,
602,Armysat 1 4,
603,Armysat 1 5,
604,Armysat 1 6,
605,Arqit 1,
606,Arqit 2,
607,Array Labs 1,
608,ARSAT 3 (INVAP),
609,ARSAT-SG 1,
610,Artemis 1 (Orion 1),
611,Artemis 10,
612,Artemis 2 (Orion 2),
613,Artemis 3 (Orion 3),
614,Artemis 4 (Orion 4),
615,Artemis 5 (possible Power Reactor),
616,Artemis 6,
617,Artemis 7,
618,Artemis 8,
619,Artemis 9,
620,Artemis Base Camp Foundation Habitat,
621,Artemis Base Camp Logistics Mission 1,
622,Artemis Base Camp Logistics Mission 2,
623,Artemis Base Camp Logistics Mission 3,
624,Artemis Base Camp Mobility Habitat,
625,ARTICA,
626,ASBM 1 (GX 10A),
627,ASBM 2 (GX 10B),
628,ASCENDS 1,
629,ASCENDS 2,
630,ASCENDS 3,
631,ASCENDS 4,
632,AsiaSat 5 HR,
633,AsiaSat 9 HR,
634,ASK-1 1,
635,ASK-1 10,
636,ASK-1 11,
637,ASK-1 12,
638,ASK-1 13,
639,ASK-1 14,
640,ASK-1 15,
641,ASK-1 16,
642,ASK-1 17,
643,ASK-1 2,
644,ASK-1 3,
645,ASK-1 4,
646,ASK-1 5,
647,ASK-1 6,
648,ASK-1 7,
649,ASK-1 8,
650,ASK-1 9,
651,Aspera,
652,ASTRA 1P,
653,ASTRA 1Q,
654,ASTRA 3C,
655,Astra V-Band LEO Constellation 2022,
656,Astra V-Band LEO Constellation 2023,
657,Astra V-Band SSO Constellation 2022,
658,Astra V-Band SSO Constellation 2023,
659,Astra V-Band SSO Constellation 2024,
660,Astra V-Band SSO Constellation 2025,
661,Astra V-Band SSO Constellation 2026,
662,Astra V-Band SSO Constellation 2027,
663,Astra V-Band SSO Constellation 2028,
664,Astra V-Band SSO Constellation 2029,
665,Astra V-Band SSO Constellation 2030,
666,Astra V-Band SSO Constellation 2032,
667,Astraeus 1,
668,Astranis 1,
669,Astranis 2,
670,Astranis 3,
